v_id,v_name,v_dist,v_cat
5143a0d5e4b087df70ee760c,Caridad Restaurant at Kingsbridge,855,Latin American Restaurant
4bfb2ac2f214a593adebae0e,Villa Maria Restaurant,805,Pizza Place
4bfdbc20f7c82d7fd6ab8e04,Caribbean Rhythms,1020,Caribbean Restaurant
4c7001dfdf6b8cfa56c9b64d,Seven Seas,687,Restaurant
4c9518076b35a143d5dc21dc,Fratelli's,784,Italian Restaurant
4bb62b326edc76b05d80301c,Liberty Donut & Coffee Shop,235,Coffee Shop
4b9d6b45f964a52078ab36e3,Mr. Q's Chinese Restaurant,190,Chinese Restaurant
52423cbd8bbd95e59e8b6a50,Restaurant Keys,1339,Design Studio
58131bd838fa8e786e4c8d2f,Napolitana Pizza and Restaurant,123,Pizza Place
4c6bf8c123c1a1cd493218cf,Lydig Coffee House,1058,Breakfast Spot
4bf31113c440c9b626840104,Rainbow Diner,1090,Diner
4ca29134554b236a517f1f48,No. 8 Chinese Restaurant,1137,Chinese Restaurant
4cd0276d7f56a1431128cca6,Enzos coffee shop,589,Coffee Shop
4f3260d119836c91c7d1e9a5,Venice Pizzeria and Restaurant,216,Food
4f2dd427e4b0479649cbcc52,Zymi Restaurant & Pizza,1006,Eastern European Restaurant
