,v_id,v_name,v_dist,v_cat
197,4b7993cbf964a520c8022fe3,Liebman's Kosher Deli,1008,Deli / Bodega
198,4f32960919836c91c7e63dd8,Sushikawa Restaurant,1221,Japanese Restaurant
199,4b94a4a2f964a520787f34e3,Nam Thai,1076,Thai Restaurant
200,4cc8c4165c17b60cb8590505,Good Taste Restaurant,35,Chinese Restaurant
201,4c543dd2728920a1ce756c82,Irish Coffee Shop,580,American Restaurant
202,4db03c875da32cf2df4509f4,Big Daddy's Caribbean Taste Restaurant,872,Caribbean Restaurant
203,4c66e0068e9120a15929d964,Kaieteur Restaurant & Bakery,868,Caribbean Restaurant
204,4ac7e99bf964a5208cba20e3,Rory Dolan's,746,Bar
205,4f32027a19833175d60959d5,Jimmy K's Bar and Restaurant,203,Food
206,56366997498e15293c00bf7f,Irish Coffee Shop,616,Coffee Shop
207,4d4f16d29a2a6ea83b05296f,Moriarty's Bar & Restaurant,555,Pub
208,4e4cf8ffbd413c4cc66da8a2,Rey De Copas Restaurant & Bar,630,Restaurant
209,5753c1bd498e80be5c69e447,Tego Restaurant,633,Mexican Restaurant
210,4f32109419833175d60d00ea,Heritage Bar & Restaurant,551,Irish Pub
211,4e4de629bd4101d0d79dae81,Ming's Wok Chinese Restaurant,904,Chinese Restaurant
212,4f402190e4b0f960358cc2e6,Barry's West Indian & American Restaurant,782,American Restaurant
213,4c700f4db5a5236a82ff4e52,Carifesta Restaurant,966,Halal Restaurant
214,4e4de619bd4101d0d79dace5,C & M Restaurant,983,Restaurant
215,4f32534919836c91c7cca527,All Island Seafood Restaurant,988,Seafood Restaurant
216,4e4cdefcbd413c4cc66cd6aa,Carifesta Halal Restaurant,976,Restaurant
217,4f32828e19836c91c7decf11,Arawak Jamaican Restaurant,1050,Food
218,4f32860f19836c91c7e02954,Silver Chimes Restaurant,1021,Food
219,4dbf038d432d1849fa379c49,excellent taste restaurant,1021,Asian Restaurant
220,4f32b46219836c91c7f193ed,Hoy Lung Restaurant,1071,Food
221,4cd303ff4944721eee5feaa6,Jacky Chen's Chinese Restaurant,1005,Chinese Restaurant
222,4f32b15e19836c91c7f07487,Pheola's Cariibbean Restaurant,1141,Food
223,4cd3edd25366548131a129ed,E&L Bakery,990,Bakery
224,58192066e3997657ad776527,El Jobo Seafood Restaurant,1186,Latin American Restaurant
225,4bec3ac661aca5935cfe8500,El Mangu Tipico Restaurant,1137,Spanish Restaurant
226,4e408ac27d8be0ba11bcf551,Sabor Latino Restaurant,1051,Latin American Restaurant
