v_name,v_cat,avg_dist_2_neighborhood,cnt_near_neighborhood,restaurant_id
La Chicita Restaurant,Food,718.0,1,4f32708a19836c91c7d7f5f5
Fast Seafood Restaurant,Food,721.0,1,4f32a03819836c91c7ea0b2b
Carolina Restaurant,Food,722.0,1,4f3289ac19836c91c7e18ba2
Coffee Mix Restaurant,Food,371.0,1,4f43bcd619834bc91f5896d8
Randall Restaurant,Spanish Restaurant,663.5,2,4c9ca8fc54c8a1cd9e057c4b
Blue Eagle Restaurant,Food,178.0,1,4f44960819836ed0019513cd
Mexican Coffee Shop,Mexican Restaurant,825.0,2,4d93af49578ba09367f89257
Toltis's Mexican Coffee Shop,Food,837.0,2,4f3273c719836c91c7d934af
Real Azteca Restaurant,Mexican Restaurant,620.0,2,4d32397eb60937040dbcf4df
Boogie Down Grind,Coffee Shop,768.0,2,573cf8c5498ea0619b6e5a9b
Allen's Restaurant Corp,Restaurant,613.5,2,51ffc67d498ee58801bfc19e
May May Restaurant,Food,705.0,1,4f3223c719836c91c7ba085f
Xin Ya Chinese Restaurant,Chinese Restaurant,838.0,2,4c6c620b6af58cfa18aa8617
mily's restaurant,Spanish Restaurant,611.0,2,585d6a77424f93087e1d23bf
Tu Restaurant,Food,756.0,2,4f321a9719836c91c7b63c91
El Polvorin Restaurant,Restaurant,779.5,2,57eff606498ea2b92fe9274f
Ligia Restaurant,Food,812.5,2,4f43a80c19834bc91f5813fd
Market Place Restaurant,Food,949.0,1,4f32162a19836c91c7b46bec
